Field,Field Name,Module,Field Type,Field Size,Description,Parent,Child,Field Reference,Parent Value,Parent Inverse,Parent_Child_Rules,2010 Reference,2010 Field,2010 FieldName,2010 Module,2010 Description,Comment
480,LRA_S2_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,561,LRA_S2_RT2_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
481,LRA_S2_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L2_ES_SGL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
482,LRA_S2_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L2_ES_DBL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
483,NLRA_S2_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,562,NLRA_S2_RT1_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
484,NLRA_S2_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,563,NLRA_S2_RT1_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
485,NLRA_S2_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,564,NLRA_S2_RT2_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
486,NLRA_S2_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,565,NLRA_S2_RT2_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
487,NLRA_S2_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
488,NLRA_S2_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L2_ES_DBL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
489,LRA_S2_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,574,LRA_S2_RT1_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
490,LRA_S2_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,575,LRA_S2_RT1_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
491,LRA_S2_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,576,LRA_S2_RT2_L3_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
492,LRA_S2_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,577,LRA_S2_RT2_L3_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
493,LRA_S2_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L3_ES_SGL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
494,LRA_S2_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L3_ES_DBL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
495,NLRA_S2_RT1_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,578,NLRA_S2_RT1_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
496,NLRA_S2_RT1_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,579,NLRA_S2_RT1_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
497,NLRA_S2_RT2_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,580,NLRA_S2_RT2_L3_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
498,NLRA_S2_RT2_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,581,NLRA_S2_RT2_L3_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
499,NLRA_S2_RT3_L3_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L3_ES_SGL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 3, Single occupancy (per night) - this is the rate being offered to this client)",NEW
500,NLRA_S2_RT3_L3_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L3_ES_DBL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 3, Double occupancy (per night) - this is the rate being offered to this client)",NEW
501,LRA_S2_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,590,LRA_S2_RT1_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
502,LRA_S2_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,591,LRA_S2_RT1_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
503,LRA_S2_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,592,LRA_S2_RT2_L4_ES_SGL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
504,LRA_S2_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,593,LRA_S2_RT2_L4_ES_DBL,ES,"Client Negotiated LRA rate for Season 2, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
505,LRA_S2_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L4_ES_SGL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
506,LRA_S2_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S2_RT3_L4_ES_DBL,,"Client Negotiated LRA rate for Season 2, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
507,NLRA_S2_RT1_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,594,NLRA_S2_RT1_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
508,NLRA_S2_RT1_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,595,NLRA_S2_RT1_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 1, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
509,NLRA_S2_RT2_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,596,NLRA_S2_RT2_L4_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
510,NLRA_S2_RT2_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,597,NLRA_S2_RT2_L4_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 2, Room type 2, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
511,NLRA_S2_RT3_L4_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L4_ES_SGL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 4, Single occupancy (per night) - this is the rate being offered to this client)",NEW
512,NLRA_S2_RT3_L4_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S2_RT3_L4_ES_DBL,,"Client Negotiated non-LRA rate for Season 2, Room Type 3, Length of Stay 4, Double occupancy (per night) - this is the rate being offered to this client)",NEW
513,SEASON3START_ES,ES,Date,10,Season 3 start date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,602,SEASON3START_ES,ES,Season 3 start date.  Use short date format:  MM/DD/YYYY   ,AMENDED
514,SEASON3END_ES,ES,Date,10,Season 3 end date.  Use ISO 8601 format - Example: 2011-12-31,,,,,,,,603,SEASON3END_ES,ES,Season 3 end date.  Use short date format:  MM/DD/YYYY ,AMENDED
515,LRA_S3_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,608,LRA_S3_RT1_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 3, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
516,LRA_S3_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,609,LRA_S3_RT1_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 3, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
517,LRA_S3_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,610,LRA_S3_RT2_L2_ES_SGL,ES,"Client Negotiated LRA rate for Season 3, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
518,LRA_S3_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,611,LRA_S3_RT2_L2_ES_DBL,ES,"Client Negotiated LRA rate for Season 3, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
519,LRA_S3_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S3_RT3_L2_ES_SGL,,"Client Negotiated LRA rate for Season 3, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
520,LRA_S3_RT3_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated LRA rate for Season 3, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,LRA_S3_RT3_L2_ES_DBL,,"Client Negotiated LRA rate for Season 3, Room Type 3, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NEW
521,NLRA_S3_RT1_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 3, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,612,NLRA_S3_RT1_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 3, Room type 1, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
522,NLRA_S3_RT1_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 3, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,613,NLRA_S3_RT1_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 3, Room type 1, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
523,NLRA_S3_RT2_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 3, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,614,NLRA_S3_RT2_L2_ES_SGL,ES,"Client Negotiated non-LRA rate for Season 3, Room type 2, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
524,NLRA_S3_RT2_L2_ES_DBL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 3, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",,,,,,,,615,NLRA_S3_RT2_L2_ES_DBL,ES,"Client Negotiated non-LRA rate for Season 3, Room type 2, Length of Stay 2, Double occupancy (per night) - this is the rate being offered to this client)",NO CHANGE
525,NLRA_S3_RT3_L2_ES_SGL,ES,Number,"(20,2)","Client Negotiated non-LRA rate for Season 3, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",,,,,,,,NEW,NLRA_S3_RT3_L2_ES_SGL,,"Client Negotiated non-LRA rate for Season 3, Room Type 3, Length of Stay 2, Single occupancy (per night) - this is the rate being offered to this client)",NEW
